,Country Name,Happiness Rank_x,Happiness Score_x,Happiness Rank_y,Happiness Score_y,GDP(billions) 2015,"GDP, 2016 (billions)",Total Population 2015,Total Population 2016,GDP/Pop 2015,GDP/Pop 2016,Unnamed: 0,GDI 2015,GDI 2016,GDI/Pop 2015,GDI/Pop 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016
62,Turkmenistan,70,5.547999999999999,65,5.6579999999999995,35.8,36.18,5565.28,5662.54,6.432740131673518,6.389358838966259,233,,,,,137.30833330000002,141.7,137.30833330000002,141.7,137.30833330000002,141.7,137.30833330000002,141.7,137.30833330000002,141.7
63,Mauritius,71,5.477,66,5.648,11.69,12.17,1262.6,1263.47,9.258672580389673,9.632203376415744,165,305347277734.546,324957412978.933,241840074.23930463,257194403.491126,117.79416670000002,141.1816667,117.79416670000002,141.1816667,117.79416670000002,141.1816667,117.79416670000002,141.1816667,117.79416670000002,141.1816667
64,Estonia,73,5.428999999999999,72,5.517,22.57,23.34,1315.41,1315.79,17.158148410001445,17.73839290464284,69,17990358450.0709,18513837639.9911,13676616.758326985,14070510.978188846,128.2323093,136.702126,128.2323093,136.702126,128.2323093,136.702126,128.2323093,136.702126,128.2323093,136.702126
65,Indonesia,74,5.399,79,5.314,861.0,932.0,258162.11,261115.46,3.335113739192789,3.5693022542594757,104,8876309316386750.0,9357896539497460.0,34382695882.00511,35838155808.53566,100.0,100.3166667,100.0,100.3166667,100.0,100.3166667,100.0,100.3166667,100.0,100.3166667
66,Vietnam,75,5.36,96,5.061,193.0,205.0,93571.57,94569.07,2.0625923023414057,2.1677277782260096,255,3038876171254130.0,3352351117999830.0,32476490148.17353,35448705565.14757,99.99916667,100.9708333,99.99916667,100.9708333,99.99916667,100.9708333,99.99916667,100.9708333,99.99916667,100.9708333
67,Turkey,76,5.332000000000001,78,5.388999999999999,860.0,864.0,78271.47,79512.43,10.987400645471459,10.866225570014652,242,1506254725774.56,1567469248460.61,19243981.565371905,19713512.069252696,100.4834167,101.09375,100.4834167,101.09375,100.4834167,101.09375,100.4834167,101.09375,100.4834167,101.09375
68,Nigeria,78,5.268,103,4.875,481.0,405.0,181181.74,185989.64,2.6547929167696482,2.177540641511,172,58577020870731.5,,323305322.4388479,,190.3386048,197.04456340000002,190.3386048,197.04456340000002,190.3386048,197.04456340000002,190.3386048,197.04456340000002,190.3386048,197.04456340000002
69,Bhutan,79,5.252999999999999,84,5.196000000000001,2.06,2.21,787.39,797.76,2.616238458705343,2.7702567188126754,30,59299017324.6967,64037424167.4324,75310859.07199317,80271540.52275422,98.5306533,98.30030959999999,98.5306533,98.30030959999999,98.5306533,98.30030959999999,98.5306533,98.30030959999999,98.5306533,98.30030959999999
70,Azerbaijan,80,5.212000000000001,81,5.291,53.07,37.85,9649.34,9757.81,5.499858021377627,3.878944148328365,13,,,,,105.01666670000002,108.03333329999998,105.01666670000002,108.03333329999998,105.01666670000002,108.03333329999998,105.01666670000002,108.03333329999998,105.01666670000002,108.03333329999998
71,Pakistan,81,5.194,92,5.132000000000001,271.0,279.0,189380.51,193203.48,1.4309814668890688,1.4440733676225708,182,10946599115038.4,11598940692452.2,57802141.91543998,60034843.53621476,101.0682583,100.1982458,101.0682583,100.1982458,101.0682583,100.1982458,101.0682583,100.1982458,101.0682583,100.1982458
72,Jordan,82,5.192,80,5.303,37.52,38.65,9159.3,9455.8,4.096382911357855,4.087438397597242,116,,,,,103.127253,109.02970400000001,103.127253,109.02970400000001,103.127253,109.02970400000001,103.127253,109.02970400000001,103.127253,109.02970400000001
73,Montenegro,82,5.192,88,5.1610000000000005,4.05,4.37,622.16,622.3,6.50957952938151,7.022336493652579,160,1731642362.11041,1788216317.24167,2783274.9808898196,2873559.8862954685,159.59890719999999,169.6497132,159.59890719999999,169.6497132,159.59890719999999,169.6497132,159.59890719999999,169.6497132,159.59890719999999,169.6497132
74,China,84,5.14,83,5.245,11100.0,11200.0,1371220.0,1378665.0,8.094981111710739,8.123800923357017,38,,,,,101.075,100.66666670000001,101.075,100.66666670000001,101.075,100.66666670000001,101.075,100.66666670000001,101.075,100.66666670000001
75,Zambia,85,5.129,106,4.795,21.15,21.06,16100.59,16591.39,1.3136164575335436,1.2693330697428005,262,,,,,103.69333329999999,112.80833329999999,103.69333329999999,112.80833329999999,103.69333329999999,112.80833329999999,103.69333329999999,112.80833329999999,103.69333329999999,112.80833329999999
76,Romania,86,5.124,71,5.528,178.0,188.0,19815.48,19699.31,8.982876014106145,9.543481472193696,199,434865322401.682,458608328558.521,21945737.494205642,23280425.992510445,173.125,200.3011024,173.125,200.3011024,173.125,200.3011024,173.125,200.3011024,173.125,200.3011024
77,Serbia,87,5.122999999999999,86,5.1770000000000005,37.16,38.3,7095.38,7058.32,5.2372106920277695,5.426220403722132,212,3225082047328.68,3367498691537.57,454532674.40625876,477096347.5072779,115.16666670000001,117.05,115.16666670000001,117.05,115.16666670000001,117.05,115.16666670000001,117.05,115.16666670000001,117.05
78,Portugal,88,5.102,94,5.122999999999999,199.0,205.0,10358.08,10325.45,19.212054743736292,19.853856248395953,192,175484026311.352,179337887758.823,16941752.36253746,17368529.968071416,112.80833329999999,115.16666670000001,112.80833329999999,115.16666670000001,112.80833329999999,115.16666670000001,112.80833329999999,115.16666670000001,112.80833329999999,115.16666670000001
79,Latvia,89,5.098,68,5.56,26.97,27.57,1977.53,1959.54,13.638225463077678,14.069628586300865,143,21345928175.0123,22203716316.9724,10794237.34406674,11331086.028849833,100.0916667,100.04166670000001,100.0916667,100.04166670000001,100.0916667,100.04166670000001,100.0916667,100.04166670000001,100.0916667,100.04166670000001
80,Philippines,90,5.073,82,5.279,293.0,305.0,101716.36,103320.22,2.880559233539226,2.9519875199646304,185,7203729885141.63,7611189355478.17,70821742.78691874,73666019.63757114,116.40106670000002,115.49479170000001,116.40106670000002,115.49479170000001,116.40106670000002,115.49479170000001,116.40106670000002,115.49479170000001,116.40106670000002,115.49479170000001
81,Morocco,92,5.013,90,5.151,101.0,104.0,34803.32,35276.79,2.902021991005456,2.9481140432562034,146,915496983038.042,938301731110.54,26304875.02451036,26598274.13748643,109.6991667,109.43666670000002,109.6991667,109.43666670000002,109.6991667,109.43666670000002,109.6991667,109.43666670000002,109.6991667,109.43666670000002
82,Albania,95,4.959,109,4.655,11.34,11.86,2880.7,2876.1,3.9365432013052386,4.123639650916171,3,647431583777.0021,654861245230.657,224748007.0042011,227690707.98326102,141.5083333,144.0333333,141.5083333,144.0333333,141.5083333,144.0333333,141.5083333,144.0333333,141.5083333,144.0333333
83,Bosnia and Herzegovina,96,4.949,87,5.162999999999999,16.21,16.91,3535.96,3516.82,4.584327877012184,4.808321153769598,22,27104002178.1684,28125950828.7602,7665245.69796276,7997552.001171569,100.1184311,100.0746506,100.1184311,100.0746506,100.1184311,100.0746506,100.1184311,100.0746506,100.1184311,100.0746506
84,Dominican Republic,98,4.885,89,5.155,68.1,71.58,10528.39,10648.79,6.468225436177801,6.721890468306727,57,2118891492868.8,2268466916184.06,201255034.51798424,213025791.30436978,107.73333329999998,108.35166670000001,107.73333329999998,108.35166670000001,107.73333329999998,108.35166670000001,107.73333329999998,108.35166670000001,107.73333329999998,108.35166670000001
85,Mongolia,100,4.874,101,4.907,11.75,11.18,2976.88,3027.4,3.947085539222273,3.6929378344453987,161,15686437944057.7,16628517767344.8,5269422329.438103,5492672843.808152,102.7666667,103.5268667,102.7666667,103.5268667,102.7666667,103.5268667,102.7666667,103.5268667,102.7666667,103.5268667
86,Greece,102,4.857,99,5.033,196.0,193.0,10820.88,10770.52,18.11312943124774,17.919283377218555,87,188462754616.297,187701843061.352,17416582.996604435,17427370.55047964,100.0,99.755,100.0,99.755,100.0,99.755,100.0,99.755,100.0,99.755
87,Lebanon,103,4.8389999999999995,93,5.129,49.46,49.6,5851.48,6006.67,8.45256242865053,8.257487093514376,128,65645307919915.3,66834513783549.6,11218581951.901964,11126716430.825998,106.38499409999999,106.9195887,106.38499409999999,106.9195887,106.38499409999999,106.9195887,106.38499409999999,106.9195887,106.38499409999999,106.9195887
88,Hungary,104,4.8,91,5.145,123.0,126.0,9843.03,9814.02,12.496152099505943,12.838775547634913,99,29945342809478.8,30943147973043.3,3042289092.8381605,3152953425.104422,100.2776707,99.95951690000001,100.2776707,99.95951690000001,100.2776707,99.95951690000001,100.2776707,99.95951690000001,100.2776707,99.95951690000001
89,Honduras,105,4.788,104,4.871,20.84,21.52,8960.83,9112.87,2.3256774205068056,2.3614953357175072,95,175615314304.336,181476287482.88895,19598108.02172745,19914284.685602773,152.71911599999999,102.94754809999999,152.71911599999999,102.94754809999999,152.71911599999999,102.94754809999999,152.71911599999999,102.94754809999999,152.71911599999999,102.94754809999999
90,Tajikistan,106,4.7860000000000005,100,4.996,7.85,6.95,8548.65,8734.95,0.9182736455463728,0.795654239577788,232,,,,,100.617575,100.1802833,100.617575,100.1802833,100.617575,100.1802833,100.617575,100.1802833,100.617575,100.1802833
91,Tunisia,107,4.739,98,5.045,43.16,42.06,11273.66,11403.25,3.8283929087802893,3.6884221603490235,241,,,,,260.585,280.84583330000004,260.585,280.84583330000004,260.585,280.84583330000004,260.585,280.84583330000004,260.585,280.84583330000004
92,Bangladesh,109,4.694,110,4.643,195.0,221.0,161200.89,162951.56,1.2096707406516178,1.3562312628366369,18,8045274672499.17,8645601650995.7,49908376.26578345,53056268.07743172,237.017,240.0071667,237.017,240.0071667,237.017,240.0071667,237.017,240.0071667,237.017,240.0071667
93,Ukraine,111,4.681,123,4.324,91.03,93.27,45154.03,45004.64,2.0159883846469517,2.072452973737819,246,1018555358119.25,1044784653989.38,22557352.203540858,23215043.02643861,100.0083333,100.65,100.0083333,100.65,100.0083333,100.65,100.0083333,100.65,100.0083333,100.65
94,Iraq,112,4.677,112,4.575,180.0,171.0,36115.65,37202.57,4.983988935544563,4.596456642645925,111,,,,,313.34583330000004,316.43,313.34583330000004,316.43,313.34583330000004,316.43,313.34583330000004,316.43,313.34583330000004,316.43
95,South Africa,113,4.6419999999999995,116,4.459,318.0,295.0,55291.22,56015.47,5.751365225798961,5.266402299221983,261,3084192548466.05,3095781070564.43,55780873.49973558,55266537.45053697,118.2321083,122.35455,118.2321083,122.35455,118.2321083,122.35455,118.2321083,122.35455,118.2321083,122.35455
96,Ghana,114,4.633,124,4.276,37.54,42.69,27582.82,28206.73,1.3609920958045623,1.5134685941972004,81,34901584651.098,36080465016.4906,1265337.7954501389,1279143.8432065893,100.0008333,99.94583333,100.0008333,99.94583333,100.0008333,99.94583333,100.0008333,99.94583333,100.0008333,99.94583333
97,Zimbabwe,115,4.61,131,4.1930000000000005,16.3,16.62,15777.45,16150.36,1.0331200542546484,1.02907922795529,263,14095705871.5654,14182495050.2365,893408.3690054729,878153.4931875512,99.46091667,98.9315,99.46091667,98.9315,99.46091667,98.9315,99.46091667,98.9315,99.46091667,98.9315
98,Liberia,116,4.571000000000001,150,3.622,2.03,2.1,4499.62,4613.82,0.4511492081553553,0.455154297306787,129,709015614.6179402,697725541.21891,157572.33157865336,151225.13258404317,146.05833330000002,160.1375,146.05833330000002,160.1375,146.05833330000002,160.1375,146.05833330000002,160.1375,146.05833330000002,160.1375
99,India,117,4.565,118,4.404,2090.0,2260.0,1309053.98,1324171.35,1.5965728166534432,1.706727758458148,107,112522770605889.0,120910256765245.0,85957319.0449251,91310128.98386979,110.9901211,110.41492269999999,110.9901211,110.41492269999999,110.9901211,110.41492269999999,110.9901211,110.41492269999999,110.9901211,110.41492269999999
100,Sudan,118,4.55,133,4.138999999999999,97.16,95.58,38647.8,39578.83,2.513985272124157,2.41492737405325,204,26778496864.6351,28048117008.6726,692885.4130024244,708664.632296422,91.74166667,97.79166667,91.74166667,97.79166667,91.74166667,97.79166667,91.74166667,97.79166667,91.74166667,97.79166667
101,Haiti,119,4.518,136,4.0280000000000005,8.72,8.02,10711.06,10847.33,0.8141117685831282,0.739352448943657,98,17525126391.691,17917262552.8536,1636171.0597915614,1651767.0756631908,99.99914004,100.18728809999999,99.99914004,100.18728809999999,99.99914004,100.18728809999999,99.99914004,100.18728809999999,99.99914004,100.18728809999999
102,Nepal,121,4.513999999999999,107,4.793,21.41,21.13,28656.28,28982.77,0.7471311698517742,0.7290538482001547,176,766419173550.001,771403391983.938,26745243.05143588,26615930.49884252,100.2030833,100.0,100.2030833,100.0,100.2030833,100.0,100.2030833,100.0,100.2030833,100.0
103,Ethiopia,122,4.512,115,4.508,64.46,72.37,99873.03,102403.2,0.6454194891253424,0.7067161963688636,70,776376110248.8829,832797317299.683,7773631.282127747,8132532.160124713,163.45833330000002,162.6083333,163.45833330000002,162.6083333,163.45833330000002,162.6083333,163.45833330000002,162.6083333,163.45833330000002,162.6083333
104,Sierra Leone,123,4.507,111,4.635,4.25,3.74,7237.02,7396.19,0.5872582913961824,0.5056657549359874,208,7964970857006.63,8736929149517.97,1100587100.3543766,1181274297.917978,105.80833329999999,105.65,105.80833329999999,105.65,105.80833329999999,105.65,105.80833329999999,105.65,105.80833329999999,105.65
105,Mauritania,124,4.436,130,4.2010000000000005,4.84,4.74,4182.34,4301.02,1.1572469000607315,1.1020641615244755,164,903542984127.088,,216037668.895185,,103.50916670000001,104.3758333,103.50916670000001,104.3758333,103.50916670000001,104.3758333,103.50916670000001,104.3758333,103.50916670000001,104.3758333
106,Kenya,125,4.419,122,4.356,63.77,70.53,47236.26,48461.57,1.3500222075160058,1.4553800052288854,119,4021094084415.28,4245806958347.84,85127274.77609953,87611832.59947707,97.97676849,96.4537223,97.97676849,96.4537223,97.97676849,96.4537223,97.97676849,96.4537223,97.97676849,96.4537223
107,Armenia,127,4.35,121,4.36,10.55,10.57,2916.95,2924.82,3.616791511681723,3.613897607374129,8,1963830270702.4,1927503144536.18,673247834.4511905,659015988.8595469,155.8175,183.662025,155.8175,183.662025,155.8175,183.662025,155.8175,183.662025,155.8175,183.662025
108,Botswana,128,4.332,137,3.9739999999999998,14.43,15.58,2209.2,2250.26,6.531776208582293,6.923644378871774,31,90503941843.7168,100619931708.587,40966839.50919645,44714802.604404375,126.65,131.35,126.65,131.35,126.65,131.35,126.65,131.35,126.65,131.35
109,Myanmar,129,4.3069999999999995,119,4.395,59.69,63.23,52403.67,52885.22,1.1390423609644134,1.1956081491199242,158,,,,,114.2103815,123.1727838,114.2103815,123.1727838,114.2103815,123.1727838,114.2103815,123.1727838,114.2103815,123.1727838
110,Georgia,130,4.297,126,4.252,13.99,14.38,3717.1,3719.3,3.763686745043179,3.8663189309816364,80,11103475447.4875,11494603162.0051,2987133.907478276,3090528.63764824,182.6583333,184.70833330000002,182.6583333,184.70833330000002,182.6583333,184.70833330000002,182.6583333,184.70833330000002,182.6583333,184.70833330000002
111,Malawi,131,4.292,132,4.156000000000001,6.37,5.43,17573.61,18091.58,0.36247532521775544,0.3001396229627263,166,1214932001982.42,1211430004641.17,69133888.93815328,66960984.31652569,109.45833329999999,113.79166670000001,109.45833329999999,113.79166670000001,109.45833329999999,113.79166670000001,109.45833329999999,113.79166670000001,109.45833329999999,113.79166670000001
112,Sri Lanka,132,4.271,117,4.415,80.61,81.32,20966.0,21203.0,3.844796336926452,3.8353063245767105,136,8904714503735.69,9445918215856.84,424721668.59370834,445499137.66244584,173.94166669999998,198.1416667,173.94166669999998,198.1416667,173.94166669999998,198.1416667,173.94166669999998,198.1416667,173.94166669999998,198.1416667
113,Cameroon,133,4.252,114,4.513,30.92,32.22,22834.52,23439.19,1.3540902107861257,1.3746208806703646,40,14524924062562.7,15196179816282.0,636095002.7661059,648323590.3750087,154.48,171.2925,154.48,171.2925,154.48,171.2925,154.48,171.2925,154.48,171.2925
114,Bulgaria,134,4.218,129,4.217,50.2,53.24,7177.99,7127.82,6.993601272779706,7.469324421772717,19,82539685029.8619,87814262826.6397,11498996.937842194,12319932.718087675,,,,,,,,,,
115,Angola,137,4.033,141,3.866,103.0,95.34,27859.3,28813.46,3.6971496053382533,3.308870229399732,2,,,,,,,,,,,,,,
116,Mali,138,3.995,135,4.073,13.1,14.03,17467.9,17994.84,0.7499470457238706,0.7796679492565646,156,4598707763470.64,4805679280752.5,263266206.2108576,267058739.1025705,,,,,,,,,,
117,Comoros,140,3.9560000000000004,138,3.9560000000000004,0.57,0.62,777.42,795.6,0.7331944122867947,0.7792860734037204,44,,,,,,,,,,,,,,
118,Uganda,141,3.931,145,3.739,27.06,24.08,40144.87,41487.96,0.6740587278025809,0.5804093524964833,245,54162039019002.1,55725159612805.0,1349164638.4457614,1343164609.9929955,,,,,,,,,,
119,Senegal,142,3.904,128,4.218999999999999,13.64,14.68,14976.99,15411.61,0.9107303937573571,0.9525286456119769,205,5753278986709.23,6190459285944.43,384141205.0558377,401675054.45209354,,,,,,,,,,
120,Gabon,143,3.8960000000000004,134,4.121,14.26,14.21,1930.18,1979.79,7.387912008206488,7.177528929835994,78,7267993667296.21,7051050925839.55,3765448645.8756227,3561514567.625632,,,,,,,,,,
121,Niger,144,3.845,142,3.8560000000000003,7.22,7.53,19896.96,20672.99,0.3628695036829747,0.3642433919815179,171,3061085517227.14,3222382802309.51,153846895.0647305,155874056.06588644,,,,,,,,,,
122,Cambodia,145,3.819,140,3.907,18.05,20.02,15517.64,15762.37,1.1631923411034153,1.270113567946952,121,46136995483170.9,49402562556271.6,2973196664.1300416,3134209040.6627684,,,,,,,,,,
123,Tanzania,146,3.781,149,3.6660000000000004,45.63,47.34,53879.96,55572.2,0.8468825886284994,0.8518647813115192,244,44288288873893.6,48707078388640.0,821980730.3846105,876464822.1348084,,,,,,,,,,
124,Madagascar,147,3.681,148,3.695,9.74,10.0,24234.09,24894.55,0.40191317272486815,0.40169434675461096,149,687206694128.87,716204497807.41,28357024.923521783,28769529.788946178,,,,,,,,,,
125,Chad,149,3.667,144,3.763,10.89,9.6,14009.41,14452.54,0.7773346629158544,0.6642431019045787,227,4956385211667.01,4480320311427.64,353789717.8872636,310002277.20716494,,,,,,,,,,
126,Guinea,150,3.656,151,3.6069999999999998,8.77,8.2,12091.53,12395.92,0.7253010991991914,0.6615079800450471,83,,,,,,,,,,,,,,
127,Burkina Faso,152,3.5869999999999997,145,3.739,10.42,11.69,18110.62,18646.43,0.5753530249102461,0.6269296589213056,17,4839970773574.43,,267244896.83812204,,,,,,,,,,,
128,Afghanistan,153,3.575,154,3.36,19.22,19.47,33736.49,34656.03,0.5697095340979457,0.5618069928956086,1,480161578637.437,497064381559.892,14232707.037318852,14342796.378000943,,,,,,,,,,
129,Rwanda,154,3.465,152,3.515,8.26,8.38,11629.55,11917.51,0.7102596403128237,0.7031670206276313,201,5996454763044.52,6419345487693.71,515622252.1975932,538648214.9118154,,,,,,,,,,
130,Benin,155,3.34,153,3.484,8.29,8.58,10575.95,10872.3,0.7838539327436305,0.7891614469799398,16,4085520691775.56,4291360121158.52,386302950.7302474,394705823.16147643,,,,,,,,,,
131,Burundi,157,2.905,157,2.905,3.07,3.01,10199.27,10524.12,0.30100193445217155,0.28600966161541297,14,1703095318380.45,1690312852455.92,166982079.93125486,160613224.90202695,,,,,,,,,,
132,Togo,158,2.839,155,3.303,4.09,4.4,7416.8,7606.37,0.5514507604357674,0.5784625254885051,230,1555243512581.0,1634786875180.43,209691984.76175708,214923396.4664393,,,,,,,,,,
